姓名,性别,专业,满意度,考试分数
张青松,男,会计学,不满意,82
王宇翔,男,金融学,一般,81
田思雨,女,会计学,满意,75
徐丽娜,女,管理学,一般,86
张志杰,男,会计学,不满意,77
赵颖颖,女,金融学,满意,97
王智强,男,管理学,一般,77
宋丽媛,女,会计学,一般,92
袁芳芳,女,金融学,满意,71
张建国,男,会计学,一般,85
李佳佳,女,金融学,不满意,80
马凤良,男,金融学,满意,55
陈勇风,男,管理学,一般,81
杨小波,男,会计学,满意,78
孙学伟,男,会计学,不满意,51
林丽娜,女,金融学,满意,79
谭英键,男,会计学,满意,63
欧阳飞,男,管理学,一般,89
吴凯迪,女,管理学,满意,71
周永祥,男,金融学,满意,82
刘晓军,男,管理学,不满意,91
李国胜,男,金融学,一般,90
蒋亚迪,女,管理学,不满意,78
崔志勇,男,金融学,一般,74
黄向春,男,金融学,不满意,66
姜海洋,男,管理学,一般,78
丁丽佳,女,金融学,满意,89
王浩波,男,会计学,一般,79
于文静,女,金融学,满意,84
李爱华,女,会计学,不满意,98
高凤云,女,会计学,满意,79
金梦迪,女,金融学,满意,76
徐海涛,男,会计学,满意,79
张天洋,男,会计学,一般,56
李冬茗,女,会计学,满意,88
王晓倩,女,会计学,不满意,86
李宗洋,男,管理学,满意,79
刘皓天,男,管理学,满意,85
刘文涛,男,管理学,一般,73
卢春阳,女,会计学,不满意,79
马家强,男,金融学,满意,82
孟子铎,男,管理学,满意,82
潘文凯,男,管理学,不满意,74
邱怡爽,女,金融学,满意,83
邵海阳,女,金融学,一般,74
孙梦婷,女,管理学,不满意,86
唐国健,男,管理学,满意,75
尹嘉韩,男,会计学,一般,70
王雯迪,女,会计学,满意,73
王思思,女,会计学,满意,80
